IP地址,端口号,国家（中文）,城市（中文）,省份（中文）
185.215.167.10,587,德国,杜塞尔多夫,北莱茵－威斯特法伦州
194.59.183.59,60002,德国,美因河畔法兰克福,黑森州
194.59.183.66,60002,德国,美因河畔法兰克福,黑森州
194.59.183.104,60002,德国,美因河畔法兰克福,黑森州
194.59.183.103,60002,德国,美因河畔法兰克福,黑森州
185.140.12.240,9200,德国,美因河畔法兰克福,黑森州
43.175.220.72,111,德国,美因河畔法兰克福,黑森州
212.113.116.241,110,德国,美因河畔法兰克福,黑森州
139.162.170.181,8009,德国,美因河畔法兰克福,黑森州
91.107.129.214,123,德国,法尔肯施泰因,萨克森自由州
87.106.208.203,14440,德国,柏林,柏林州
89.106.69.14,14440,德国,,
178.250.187.25,587,德国,美因河畔法兰克福,黑森州
185.140.12.240,5222,德国,美因河畔法兰克福,黑森州
185.140.12.240,8291,德国,美因河畔法兰克福,黑森州
185.140.12.240,7778,德国,美因河畔法兰克福,黑森州
185.140.12.240,7777,德国,美因河畔法兰克福,黑森州
185.140.12.240,8800,德国,美因河畔法兰克福,黑森州
185.140.12.240,8888,德国,美因河畔法兰克福,黑森州
5.75.130.207,5000,德国,纽伦堡,巴伐利亚邦
185.140.12.240,9307,德国,美因河畔法兰克福,黑森州
185.140.12.240,9306,德国,美因河畔法兰克福,黑森州
91.98.201.41,8888,德国,,
185.140.12.240,9305,德国,美因河畔法兰克福,黑森州
195.58.38.240,8000,德国,美因河畔法兰克福,黑森州
185.140.12.240,9304,德国,美因河畔法兰克福,黑森州
176.96.138.203,8000,德国,美因河畔法兰克福,黑森州
176.96.138.171,8000,德国,美因河畔法兰克福,黑森州
212.227.64.179,9303,德国,柏林,柏林州
185.140.12.240,9303,德国,美因河畔法兰克福,黑森州
94.159.110.177,587,德国,美因河畔法兰克福,黑森州
194.5.62.187,8888,德国,美因河畔法兰克福,黑森州
185.140.12.240,8008,德国,美因河畔法兰克福,黑森州
155.102.137.126,83,德国,美因河畔法兰克福,黑森州
155.102.136.128,83,德国,美因河畔法兰克福,黑森州
212.52.1.202,81,德国,美因河畔法兰克福,黑森州
94.131.110.132,81,德国,美因河畔法兰克福,黑森州
103.252.89.117,81,德国,美因河畔法兰克福,黑森州
194.55.13.135,8000,德国,纽伦堡,巴伐利亚邦
185.207.106.81,587,德国,纽伦堡,巴伐利亚邦
147.45.68.146,587,德国,美因河畔法兰克福,黑森州
51.77.70.199,587,德国,美因河畔法兰克福,黑森州
80.66.87.174,587,德国,美因河畔法兰克福,黑森州
83.229.87.70,587,德国,美因河畔法兰克福,黑森州
195.133.65.240,587,德国,美因河畔法兰克福,黑森州
51.195.40.6,587,德国,美因河畔法兰克福,黑森州
91.107.140.164,587,德国,法尔肯施泰因,萨克森自由州
194.87.29.32,9000,德国,美因河畔法兰克福,黑森州
91.107.173.10,2121,德国,法尔肯施泰因,萨克森自由州
91.107.250.46,2121,德国,纽伦堡,巴伐利亚邦
91.107.151.136,2121,德国,纽伦堡,巴伐利亚邦
109.237.98.243,2121,德国,美因河畔法兰克福,黑森州
185.140.12.240,8009,德国,美因河畔法兰克福,黑森州
159.69.162.184,43080,德国,纽伦堡,巴伐利亚邦
195.133.83.62,442,德国,美因河畔法兰克福,黑森州
185.140.12.240,6443,德国,美因河畔法兰克福,黑森州
91.107.167.127,12345,德国,法尔肯施泰因,萨克森自由州
91.107.159.5,12345,德国,纽伦堡,巴伐利亚邦
91.107.244.189,12345,德国,纽伦堡,巴伐利亚邦
165.227.130.86,12345,德国,美因河畔法兰克福,黑森州
188.245.207.54,12345,德国,法尔肯施泰因,萨克森自由州
45.80.188.189,12345,德国,美因河畔法兰克福,黑森州
185.140.12.240,3128,德国,美因河畔法兰克福,黑森州
185.140.12.240,8000,德国,美因河畔法兰克福,黑森州
92.246.139.43,1080,德国,美因河畔法兰克福,黑森州
91.99.176.43,1080,德国,法尔肯施泰因,萨克森自由州
91.107.185.235,123,德国,法尔肯施泰因,萨克森自由州
185.140.12.240,5683,德国,美因河畔法兰克福,黑森州
64.227.117.232,8000,德国,美因河畔法兰克福,黑森州
185.140.12.240,5000,德国,美因河畔法兰克福,黑森州
185.140.12.240,5678,德国,美因河畔法兰克福,黑森州
82.115.31.174,6699,德国,美因河畔法兰克福,黑森州
91.107.180.214,8000,德国,法尔肯施泰因,萨克森自由州
185.140.12.240,6699,德国,美因河畔法兰克福,黑森州
87.106.209.239,2090,德国,柏林,柏林州
91.107.242.176,2090,德国,纽伦堡,巴伐利亚邦
138.124.117.66,2090,德国,美因河畔法兰克福,黑森州
193.24.210.15,2090,德国,美因河畔法兰克福,黑森州
193.24.210.169,2090,德国,美因河畔法兰克福,黑森州
82.115.31.140,8888,德国,美因河畔法兰克福,黑森州
82.115.31.126,8888,德国,美因河畔法兰克福,黑森州
